ARPSPOOFER; 2019-05-10 00:16:21; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:16:21; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:16:21; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:16:21; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:16:21; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:16:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:23; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:17:23; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:17:23; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:17:23; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:17:23; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:17:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:40; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:17:40; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:17:40; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:17:40; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:17:40; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:17:40; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:40; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:40; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:41; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:41; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:41; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:41; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:43; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:17:43; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:17:43; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:17:43; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:17:43; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:17:43; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:43; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:43; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:43; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:43; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:43; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:44; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:44; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:44; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:17:44; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:19:55; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:19:55; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:19:55; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:19:55; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:19:55; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:19:55; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:19:55; DEBUG; Iterating...
